Geographic code,Geographic name,Population centre size group,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
1559,Ladner,Small,British Columbia,F,22193,22179,T,0.1,8820,8644,7.37,3009.4
973,Vancouver,Large urban,British Columbia,F,2264823,2124443,T,6.6,944471,883021,876.44,2584.1
1048,Abbotsford,Large urban,British Columbia,F,121279,115011,T,5.4,45281,43007,68.5,1770.5
1021,White Rock,Medium,British Columbia,F,93729,85062,T,10.2,41249,38780,53.54,1750.6
1351,Pemberton,Small,British Columbia,F,1957,1738,T,12.6,756,720,1.12,1745.1
1218,Aldergrove,Small,British Columbia,F,12007,12083,T,-0.6,4485,4298,6.9,1738.9
1570,Tsawwassen,Small,British Columbia,F,21588,21439,T,0.7,9082,8735,12.91,1672
984,Victoria,Large urban,British Columbia,F,335696,314596,T,6.7,158734,149903,215.88,1555
574,Nelson,Small,British Columbia,F,10664,10347,T,3.1,5106,4867,6.87,1552.3
420,Kitimat,Small,British Columbia,F,6394,6633,T,-3.6,3365,2796,4.25,1505.9
680,Prince Rupert,Small,British Columbia,F,11733,11985,T,-2.1,5440,4719,7.86,1492.3
169,Chemainus,Small,British Columbia,F,3021,2914,T,3.7,1609,1548,2.09,1447.6
298,Fort St. John,Small,British Columbia,F,19897,18572,T,7.1,9423,7898,14.17,1404.3
397,Kamloops,Medium,British Columbia,F,78026,72755,T,7.2,34577,32649,56.27,1386.6
1408,Aldergrove East,Small,British Columbia,F,3491,2383,T,46.5,1072,982,2.55,1368.4
177,Chilliwack,Medium,British Columbia,F,73161,67374,T,8.6,30902,29685,54.09,1352.6
632,Penticton,Medium,British Columbia,F,33617,32823,T,2.4,16726,15652,25.03,1343.2
1560,Mission,Medium,British Columbia,F,33261,31109,T,6.9,11870,11382,24.91,1335.2
